[10:38:46] [ServerMain/INFO]: Building unoptimized datafixer
[10:38:47] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[10:38:49] [ServerMain/INFO]: Loaded 7 recipes
[10:38:49] [ServerMain/INFO]: Loaded 1179 advancements
[10:38:50] [ServerMain/WARN]: Failed to parse level-type default, defaulting to minecraft:normal
[10:38:50] [Server thread/INFO]: Starting minecraft server version 1.19.2
[10:38:50] [Server thread/INFO]: Loading properties
[10:38:50] [Server thread/INFO]: Default game type: SURVIVAL
[10:38:50] [Server thread/INFO]: Generating keypair
[10:38:50] [Server thread/INFO]: Starting Minecraft server on *:25565
[10:38:50] [Server thread/INFO]: Using epoll channel type
[10:38:50] [Server thread/INFO]: Preparing level "world"
[10:38:50] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[10:39:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:04] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:05] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[10:39:05] [Worker-Main-3/INFO]: Preparing spawn area: 47%
[10:39:06] [Server thread/INFO]: Time elapsed: 15668 ms
[10:39:06] [Server thread/INFO]: Done (15.873s)! For help, type "help"
